t,py,vy
1.4917,1.884156,-2.104932
1.5000,1.866274,-2.186682
1.5083,1.847712,-2.268432
1.5167,1.828467,-2.350182
1.5250,1.808542,-2.431932
1.5333,1.787935,-2.513682
1.5417,1.766647,-2.595432
1.5500,1.744678,-2.677182
1.5583,1.722027,-2.758932
1.5667,1.698696,-2.840682
1.5750,1.674683,-2.922432
1.5833,1.649988,-3.004182
1.5917,1.624613,-3.085932
1.6000,1.598556,-3.167682
1.6083,1.571818,-3.249432
1.6167,1.544399,-3.331182
1.6250,1.516299,-3.412932
1.6333,1.487517,-3.494682
1.6417,1.458054,-3.576432
1.6500,1.427910,-3.658182
1.6583,1.397084,-3.739932
1.6667,1.365577,-3.821682
1.6750,1.333389,-3.903432
1.6833,1.300520,-3.985182
1.6917,1.266970,-4.066932
1.7000,1.232738,-4.148682
1.7083,1.197825,-4.230432
1.7167,1.162231,-4.312182
1.7250,1.125955,-4.393932
1.7333,1.088999,-4.475682
1.7417,1.051361,-4.557432
1.7500,1.013041,-4.639182
1.7583,0.974041,-4.720932
1.7667,0.934359,-4.802682
1.7750,0.893996,-4.884432
1.7833,0.852952,-4.966182
1.7917,0.811226,-5.047932
1.8000,0.768820,-5.129682
1.8083,0.725732,-5.211432
1.8167,0.681963,-5.293182
1.8250,0.637512,-5.374932
1.8333,0.592380,-5.456682
1.8417,0.546567,-5.538432
1.8500,0.500073,-5.620182
1.8583,0.452898,-5.701932
1.8667,0.405041,-5.783682
1.8750,0.356503,-5.865432
1.8833,0.307284,-5.947182
1.8917,0.257383,-6.028932
1.9000,0.206802,-6.110682
1.9083,0.155539,-6.192432
1.9167,0.116411,6.254086
1.9250,0.168188,6.172336
1.9333,0.219283,6.090586
1.9417,0.269698,6.008836
1.9500,0.319431,5.927086
1.9583,0.368482,5.845336
1.9667,0.416853,5.763586
1.9750,0.464542,5.681836
1.9833,0.511550,5.600086
1.9917,0.557877,5.518336
2.0000,0.603522,5.436586
2.0083,0.648487,5.354836
2.0167,0.692770,5.273086
2.0250,0.736372,5.191336
2.0333,0.779292,5.109586
2.0417,0.821531,5.027836
2.0500,0.863089,4.946086
2.0583,0.903966,4.864336
2.0667,0.944162,4.782586
2.0750,0.983676,4.700836
2.0833,1.022509,4.619086
2.0917,1.060661,4.537336
2.1000,1.098131,4.455586
2.1083,1.134920,4.373836
2.1167,1.171028,4.292086
2.1250,1.206455,4.210336
2.1333,1.241201,4.128586
2.1417,1.275265,4.046836
2.1500,1.308648,3.965086
2.1583,1.341350,3.883336
2.1667,1.373370,3.801586
2.1750,1.404709,3.719836
2.1833,1.435367,3.638086
2.1917,1.465344,3.556336
2.2000,1.494640,3.474586
2.2083,1.523254,3.392836
2.2167,1.551187,3.311086
2.2250,1.578439,3.229336
2.2333,1.605009,3.147586
2.2417,1.630898,3.065836
2.2500,1.656106,2.984086
2.2583,1.680633,2.902336
2.2667,1.704479,2.820586
2.2750,1.727643,2.738836
2.2833,1.750126,2.657086
2.2917,1.771928,2.575336
2.3000,1.793048,2.493586
2.3083,1.813487,2.411836
2.3167,1.833245,2.330086
2.3250,1.852322,2.248336
2.3333,1.870718,2.166586
2.3417,1.888432,2.084836
2.3500,1.905465,2.003086
2.3583,1.921817,1.921336
2.3667,1.937487,1.839586
2.3750,1.952477,1.757836
2.3833,1.966785,1.676086
2.3917,1.980411,1.594336
2.4000,1.993357,1.512586
2.4083,2.005621,1.430836
2.4167,2.017204,1.349086
2.4250,2.028106,1.267336
2.4333,2.038326,1.185586
2.4417,2.047866,1.103836
2.4500,2.056724,1.022086
2.4583,2.064900,0.940336
2.4667,2.072396,0.858586
2.4750,2.079210,0.776836
2.4833,2.085343,0.695086
2.4917,2.090795,0.613336
2.5000,2.095565,0.531586
2.5083,2.099655,0.449836
2.5167,2.103063,0.368086
2.5250,2.105789,0.286336
2.5333,2.107835,0.204586
2.5417,2.109199,0.122836
2.5500,2.109882,0.041086
2.5583,2.109884,-0.040664
2.5667,2.109204,-0.122414
2.5750,2.107844,-0.204164
2.5833,2.105802,-0.285914
2.5917,2.103078,-0.367664
2.6000,2.099674,-0.449414
2.6083,2.095588,-0.531164
2.6167,2.090821,-0.612914
2.6250,2.085373,-0.694664
2.6333,2.079243,-0.776414
2.6417,2.072433,-0.858164
2.6500,2.064941,-0.939914
2.6583,2.056767,-1.021664
2.6667,2.047913,-1.103414
2.6750,2.038377,-1.185164
