t,py,vy
7.4917,1.966751,1.675907
7.5000,1.980376,1.594157
7.5083,1.993320,1.512407
7.5167,2.005583,1.430657
7.5250,2.017165,1.348907
7.5333,2.028065,1.267157
7.5417,2.038284,1.185407
7.5500,2.047822,1.103657
7.5583,2.056678,1.021907
7.5667,2.064854,0.940157
7.5750,2.072348,0.858407
7.5833,2.079160,0.776657
7.5917,2.085292,0.694907
7.6000,2.090742,0.613157
7.6083,2.095511,0.531407
7.6167,2.099599,0.449657
7.6250,2.103005,0.367907
7.6333,2.105731,0.286157
7.6417,2.107775,0.204407
7.6500,2.109137,0.122657
7.6583,2.109819,0.040907
7.6667,2.109819,-0.040843
7.6750,2.109138,-0.122593
7.6833,2.107776,-0.204343
7.6917,2.105732,-0.286093
7.7000,2.103008,-0.367843
7.7083,2.099602,-0.449593
7.7167,2.095515,-0.531343
7.7250,2.090746,-0.613093
7.7333,2.085296,-0.694843
7.7417,2.079165,-0.776593
7.7500,2.072353,-0.858343
7.7583,2.064860,-0.940093
7.7667,2.056685,-1.021843
7.7750,2.047829,-1.103593
7.7833,2.038292,-1.185343
7.7917,2.028073,-1.267093
7.8000,2.017173,-1.348843
7.8083,2.005592,-1.430593
7.8167,1.993330,-1.512343
7.8250,1.980387,-1.594093
7.8333,1.966762,-1.675843
7.8417,1.952456,-1.757593
7.8500,1.937469,-1.839343
7.8583,1.921800,-1.921093
7.8667,1.905451,-2.002843
7.8750,1.888420,-2.084593
7.8833,1.870707,-2.166343
7.8917,1.852314,-2.248093
7.9000,1.833239,-2.329843
7.9083,1.813483,-2.411593
7.9167,1.793046,-2.493343
7.9250,1.771927,-2.575093
7.9333,1.750128,-2.656843
7.9417,1.727647,-2.738593
7.9500,1.704484,-2.820343
7.9583,1.680641,-2.902093
7.9667,1.656116,-2.983843
7.9750,1.630910,-3.065593
7.9833,1.605023,-3.147343
7.9917,1.578454,-3.229093
8.0000,1.551205,-3.310843
8.0083,1.523274,-3.392593
8.0167,1.494662,-3.474343
8.0250,1.465368,-3.556093
8.0333,1.435393,-3.637843
8.0417,1.404737,-3.719593
8.0500,1.373400,-3.801343
8.0583,1.341382,-3.883093
8.0667,1.308682,-3.964843
8.0750,1.275301,-4.046593
8.0833,1.241239,-4.128343
8.0917,1.206495,-4.210093
8.1000,1.171070,-4.291843
8.1083,1.134964,-4.373593
8.1167,1.098177,-4.455343
8.1250,1.060709,-4.537093
8.1333,1.022559,-4.618843
8.1417,0.983728,-4.700593
8.1500,0.944216,-4.782343
8.1583,0.904022,-4.864093
8.1667,0.863148,-4.945843
8.1750,0.821592,-5.027593
8.1833,0.779354,-5.109343
8.1917,0.736436,-5.191093
8.2000,0.692836,-5.272843
8.2083,0.648555,-5.354593
8.2167,0.603593,-5.436343
8.2250,0.557949,-5.518093
8.2333,0.511625,-5.599843
8.2417,0.464619,-5.681593
8.2500,0.416931,-5.763343
8.2583,0.368563,-5.845093
8.2667,0.319513,-5.926843
8.2750,0.269782,-6.008593
8.2833,0.219370,-6.090343
8.2917,0.168276,-6.172093
8.3000,0.116502,-6.253843
8.3083,0.155448,6.192425
8.3167,0.206711,6.110675
8.3250,0.257292,6.028925
8.3333,0.307193,5.947175
8.3417,0.356412,5.865425
8.3500,0.404950,5.783675
8.3583,0.452807,5.701925
8.3667,0.499982,5.620175
8.3750,0.546476,5.538425
8.3833,0.592289,5.456675
8.3917,0.637421,5.374925
8.4000,0.681871,5.293175
8.4083,0.725640,5.211425
8.4167,0.768728,5.129675
8.4250,0.811135,5.047925
8.4333,0.852860,4.966175
8.4417,0.893904,4.884425
8.4500,0.934267,4.802675
8.4583,0.973949,4.720925
8.4667,1.012949,4.639175
8.4750,1.051269,4.557425
8.4833,1.088906,4.475675
8.4917,1.125863,4.393925
8.5000,1.162139,4.312175
8.5083,1.197733,4.230425
8.5167,1.232646,4.148675
8.5250,1.266877,4.066925
8.5333,1.300428,3.985175
8.5417,1.333297,3.903425
8.5500,1.365485,3.821675
8.5583,1.396991,3.739925
8.5667,1.427817,3.658175
8.5750,1.457961,3.576425
8.5833,1.487424,3.494675
8.5917,1.516206,3.412925
8.6000,1.544306,3.331175
8.6083,1.571725,3.249425
8.6167,1.598463,3.167675
8.6250,1.624520,3.085925
8.6333,1.649895,3.004175
8.6417,1.674589,2.922425
8.6500,1.698602,2.840675
8.6583,1.721934,2.758925
8.6667,1.744584,2.677175
8.6750,1.766553,2.595425
8.6833,1.787841,2.513675
8.6917,1.808448,2.431925
8.7000,1.828373,2.350175
8.7083,1.847618,2.268425
8.7167,1.866181,2.186675
8.7250,1.884062,2.104925
8.7333,1.901263,2.023175
8.7417,1.917782,1.941425
8.7500,1.933620,1.859675
8.7583,1.948776,1.777925
8.7667,1.963252,1.696175
8.7750,1.977046,1.614425
8.7833,1.990159,1.532675
8.7917,2.002591,1.450925
8.8000,2.014341,1.369175
8.8083,2.025410,1.287425
8.8167,2.035798,1.205675
8.8250,2.045505,1.123925
8.8333,2.054530,1.042175
8.8417,2.062874,0.960425
8.8500,2.070537,0.878675
8.8583,2.077519,0.796925
8.8667,2.083819,0.715175
8.8750,2.089438,0.633425
8.8833,2.094376,0.551675
8.8917,2.098633,0.469925
8.9000,2.102208,0.388175
8.9083,2.105103,0.306425
8.9167,2.107315,0.224675
8.9250,2.108847,0.142925
8.9333,2.109698,0.061175
8.9417,2.109867,-0.020575
8.9500,2.109355,-0.102325
8.9583,2.108161,-0.184075
8.9667,2.106287,-0.265825
8.9750,2.103731,-0.347575
8.9833,2.100494,-0.429325
8.9917,2.096575,-0.511075
9.0000,2.091976,-0.592825
9.0083,2.086695,-0.674575
9.0167,2.080733,-0.756325
9.0250,2.074090,-0.838075
9.0333,2.066765,-0.919825
9.0417,2.058759,-1.001575
9.0500,2.050072,-1.083325
9.0583,2.040704,-1.165075
9.0667,2.030654,-1.246825
9.0750,2.019923,-1.328575
9.0833,2.008511,-1.410325
9.0917,1.996418,-1.492075
9.1000,1.983643,-1.573825
9.1083,1.970188,-1.655575
9.1167,1.956050,-1.737325
9.1250,1.941232,-1.819075
9.1333,1.925733,-1.900825
9.1417,1.909552,-1.982575
9.1500,1.892690,-2.064325
9.1583,1.875146,-2.146075
9.1667,1.856922,-2.227825
9.1750,1.838016,-2.309575
9.1833,1.818429,-2.391325
9.1917,1.798160,-2.473075
9.2000,1.777211,-2.554825
9.2083,1.755580,-2.636575
9.2167,1.733268,-2.718325
9.2250,1.710275,-2.800075
9.2333,1.686600,-2.881825
9.2417,1.662244,-2.963575
9.2500,1.637207,-3.045325
9.2583,1.611489,-3.127075
9.2667,1.585089,-3.208825
9.2750,1.558008,-3.290575
9.2833,1.530246,-3.372325
9.2917,1.501803,-3.454075
9.3000,1.472678,-3.535825
9.3083,1.442872,-3.617575
9.3167,1.412385,-3.699325
9.3250,1.381217,-3.781075
9.3333,1.349367,-3.862825
9.3417,1.316837,-3.944575
9.3500,1.283625,-4.026325
9.3583,1.249731,-4.108075
9.3667,1.215157,-4.189825
9.3750,1.179901,-4.271575
9.3833,1.143964,-4.353325
9.3917,1.107345,-4.435075
9.4000,1.070046,-4.516825
9.4083,1.032065,-4.598575
9.4167,0.993403,-4.680325
9.4250,0.954059,-4.762075
9.4333,0.914035,-4.843825
9.4417,0.873329,-4.925575
9.4500,0.831942,-5.007325
9.4583,0.789874,-5.089075
9.4667,0.747124,-5.170825
9.4750,0.703693,-5.252575
9.4833,0.659581,-5.334325
9.4917,0.614788,-5.416075
9.5000,0.569313,-5.497825
9.5083,0.523157,-5.579575
9.5167,0.476320,-5.661325
9.5250,0.428802,-5.743075
9.5333,0.380602,-5.824825
9.5417,0.331722,-5.906575
9.5500,0.282159,-5.988325
9.5583,0.231916,-6.070075
9.5667,0.180992,-6.151825
9.5750,0.129386,-6.233575
9.5833,0.142649,6.212642
9.5917,0.194080,6.130892
9.6000,0.244830,6.049142
9.6083,0.294899,5.967392
9.6167,0.344287,5.885642
9.6250,0.392993,5.803892
9.6333,0.441019,5.722142
9.6417,0.488362,5.640392
9.6500,0.535025,5.558642
9.6583,0.581006,5.476892
9.6667,0.626307,5.395142
9.6750,0.670925,5.313392
9.6833,0.714863,5.231642
9.6917,0.758119,5.149892
9.7000,0.800695,5.068142
9.7083,0.842589,4.986392
9.7167,0.883801,4.904642
9.7250,0.924333,4.822892
9.7333,0.964183,4.741142
9.7417,1.003352,4.659392
9.7500,1.041839,4.577642
9.7583,1.079646,4.495892
9.7667,1.116771,4.414142
9.7750,1.153215,4.332392
9.7833,1.188977,4.250642
9.7917,1.224059,4.168892
9.8000,1.258459,4.087142
9.8083,1.292178,4.005392
9.8167,1.325215,3.923642
9.8250,1.357572,3.841892
9.8333,1.389247,3.760142
9.8417,1.420241,3.678392
9.8500,1.450553,3.596642
9.8583,1.480185,3.514892
9.8667,1.509135,3.433142
9.8750,1.537404,3.351392
9.8833,1.564991,3.269642
9.8917,1.591898,3.187892
9.9000,1.618123,3.106142
9.9083,1.643667,3.024392
9.9167,1.668530,2.942642
9.9250,1.692711,2.860892
9.9333,1.716211,2.779142
9.9417,1.739030,2.697392
9.9500,1.761168,2.615642
9.9583,1.782624,2.533892
9.9667,1.803399,2.452142
9.9750,1.823493,2.370392
9.9833,1.842906,2.288642
9.9917,1.861637,2.206892
10.0000,1.879687,2.125142
