t,sidespin_x,sidespin_z,topspin_x,topspin_z,backspin_x,backspin_z,nospin_z
3.4000,16.3696,39.1297,0.0000,38.4975,0.0000,50.2215,43.9030
3.4500,16.5764,39.3390,0.0000,38.7642,0.0000,50.5515,44.2092
3.5000,16.7815,39.5448,0.0000,39.0275,0.0000,50.8796,44.5115
3.5500,16.9848,39.7472,0.0000,39.2873,0.0000,51.2050,44.8101
3.6000,17.1864,39.9462,0.0000,39.5437,0.0000,51.5272,45.1050
3.6500,17.3862,40.1419,0.0000,39.7967,0.0000,51.8456,45.3962
3.7000,17.5841,40.3344,0.0000,40.0463,0.0000,52.1595,45.6838
3.7500,17.7802,40.5237,0.0000,40.2925,0.0000,52.4684,45.9677
3.8000,17.9744,40.7099,0.0000,40.5355,0.0000,52.7718,46.2480
3.8500,18.1666,40.8930,0.0000,40.7751,0.0000,53.0684,46.5247
3.9000,18.3569,41.0732,0.0000,41.0114,0.0000,53.3477,46.7979
3.9500,18.5453,41.2504,0.0000,41.2444,0.0000,53.6289,47.0675
4.0000,18.7317,41.4248,0.0000,41.4743,0.0000,53.9115,47.3337
4.0500,18.9161,41.5963,0.0000,41.7008,0.0000,54.1948,47.5963
4.1000,19.0985,41.7650,0.0000,41.9242,0.0000,54.4782,47.8556
4.1500,19.2788,41.9309,0.0000,42.1444,0.0000,54.7611,48.1114
4.2000,19.4571,42.0942,0.0000,42.3614,0.0000,55.0429,48.3638
4.2500,19.6334,42.2548,0.0000,42.5753,0.0000,55.3230,48.6129
4.3000,19.8076,42.4128,0.0000,42.7861,0.0000,55.6009,48.8585
4.3500,19.9798,42.5682,0.0000,42.9937,0.0000,55.8760,49.1009
4.4000,20.1499,42.7211,0.0000,43.1983,0.0000,56.1477,49.3400
4.4500,20.3179,42.8715,0.0000,43.3997,0.0000,56.4155,49.5757
4.5000,20.4838,43.0194,0.0000,43.5982,0.0000,56.6743,49.8083
4.5500,20.6476,43.1649,0.0000,43.7935,0.0000,56.9333,50.0375
4.6000,20.8093,43.3081,0.0000,43.9859,0.0000,57.1927,50.2636
4.6500,20.9689,43.4488,0.0000,44.1752,0.0000,57.4519,50.4864
4.7000,21.1264,43.5872,0.0000,44.3616,0.0000,57.7104,50.7061
4.7500,21.2818,43.7233,0.0000,44.5449,0.0000,57.9676,50.9226
4.8000,21.4351,43.8571,0.0000,44.7253,0.0000,58.2230,51.1359
4.8500,21.5863,43.9887,0.0000,44.9028,0.0000,58.4761,51.3462
4.9000,21.7353,44.1181,0.0000,45.0773,0.0000,58.7245,51.5533
